plant_extract,extract_volume_mL_,precursor,conc_M_,precursor_volume_mL_,pH,time_hr_,methods,additives,particle_size_nm_
latex from stem of Calotropis procera,40.0,Fe2(SO4)3,0.003,20.0,4.0,0.75,Stirring,60c sittirng,4
Catharanthus roseus (Madagascar periwinkle),24.0,Fe(CO)₅,0.033,36.0,8.0,0.25,CVD,0.1 M TMEDA,5
latex from stem of Calotropis procera,20.0,Fe2(SO4)3,0.003,20.0,5.0,0.75,Stirring,60c sittirng,5
latex from stem of Calotropis procera,30.0,Fe2(SO4)3,0.003,20.0,4.0,0.75,Stirring,60c sittirng,5
Cissus quadrangularis (Bone Setter),37.0,Fe(OOCH)₂,0.125,47.0,11.5,0.5,Co-Precipitation,0.15M phytic acid,6
Artemisia annua (Wormwood),27.0,FeCl₃/FeSO₄ (3:1),0.2,37.0,12.0,0.5,Co-Precipitation,1.5M NaOH + 0.2M dextran,7
Pinus sylvestris (Pine resin),22.0,Fe(CO)₅,0.088,33.0,4.5,0.33,Thermal decomposition,0.5 M oleic acid,8
Ocimum sanctum (Holy Basil),25.0,Fe(NO₃)₃·9H₂O,0.15,35.0,10.0,1.0,Co-Precipitation,0.3M TEA,8
Ficus religiosa (Peepal),42.0,FeCl₂·4H₂O,0.09,52.0,11.0,1.0,Co-Precipitation,0.45M NH₄OH + 0.05M PVP,8
Punica granatum (Pomegranate),15.0,Fe(NO₃)₃·9H₂O,0.18,25.0,11.0,0.75,Co-Precipitation,1M NH₄OH + 0.2M tartrate,10
Aegle marmelos (Bael Fruit),32.0,FeCl₃ + Fe(CO)₅ (4:1),0.14,48.0,11.2,0.33,Co-Precipitation,0.5M TMAH + 0.2M inulin,10
Woodfordia fruticosa (Fire Flame Bush),39.0,FeCl₃ + Fe(citrate) (4:1),0.115,49.0,11.0,0.42,Co-Precipitation,0.3M NH₄OH + 0.2M κ-carrageenan,11
Punica granatum (Pomegranate),20.0,FeCl3,0.01,15.0,5.0,3.0,Sonochemical,1 M NaBH4,12
Rosa damascena (Rose petals),10.0,FeCl3,0.09,15.0,8.0,0.5,Sonication,0.2 M ascorbic acid,12
Euphorbia hirta (Asthma weed),19.0,Fe(acac)₂,0.031,28.0,8.2,0.75,Microemulsion,0.1 M AOT + isooctane,12
Azadirachta indica (Neem),40.0,FeCl₃·6H₂O,0.1,50.0,11.0,1.5,Co-Precipitation,0.5M NH₄OH,12
Psidium guajava leaves,50.0,FeCl3 and FeCl2,0.001,100.0,11.0,1.0,Stirring,1 M NaOH,12
Acalypha indica (Indian Nettle),26.0,FeCl₃ + Fe(tartrate) (5:1),0.11,36.0,10.8,1.75,Co-Precipitation,0.45M NH₄HCO₃,13
Daucus carota (Carrot peel),20.0,FeCl2,0.12,25.0,7.5,0.75,Sonochemical,0.05 M gelatin,14
Bacopa monnieri (Brahmi),23.0,Fe(CO)₅,0.057,35.0,8.5,0.42,Plasma-enhanced,0.3 M Ar/N₂ gas mixture,14
Citrus limon (Lemon peel),25.0,FeCl3,0.01,20.0,4.0,0.5,Stirring,0.2 M tartaric acid,15
Sambucus nigra (Elderberry),35.0,FeCl₃,0.14,45.0,7.5,0.5,Sonication,0.1 M PEG-4000,15
Andrographis paniculata (King of bitters),29.0,FeCl₃·6H₂O,0.142,44.0,5.5,0.5,Pulsed laser,0.2 M PVP in DMF,16
Camellia sinensis (Tea),35.0,FeSO₄·7H₂O,0.05,45.0,12.0,0.5,Co-Precipitation,0.4M NaOH + 0.05M PEG,16
Rosmarinus officinalis (Rosemary),32.0,FeCl₃·6H₂O,0.07,42.0,10.0,1.25,Co-Precipitation,0.4M glycine,16
Moringa oleifera leaves,20.0,Fe3Cl4,0.6,80.0,3.0,1.5,hydrothermal,0.1 M PVP,16
Dendrophthoe falcata (Mistletoe),38.0,FeCl₃ + Fe(acac)₃ (1:1),0.075,52.0,10.5,1.25,Co-Precipitation,0.4M NH₄F + 0.1M mannitol,17
Pergularia daemia (Treasure Flower),44.0,FeSO₄ + Fe(acetylacetonate) (1:1),0.15,54.0,10.2,1.0,Co-Precipitation,0.5M NH₄OH + 0.2M silk fibroin,17
Camellia sinensis (Green tea),15.0,FeCl2,0.2,25.0,8.0,1.5,Hydrothermal,1 M urea,18
Nerium oleander (Oleander),55.0,FeCl2,0.25,65.0,8.5,0.25,Electrochemical,0.1 M glucose,18
Petroselinum crispum (Parsley),15.0,Fe(NO₃)₃,0.12,25.0,6.0,0.5,Sonochemical,0.05 M EDTA,18
Cinnamomum verum (Cinnamon),48.0,FeSO₄·7H₂O,0.11,58.0,10.0,1.5,Co-Precipitation,0.5M NaOH + 0.15M starch,18
Acorus calamus (Sweet flag),37.0,Fe(NO₃)₃·9H₂O,0.112,53.0,5.2,2.25,Microwave-plasma,0.15 M β-cyclodextrin,19
Zingiber officinale (Ginger),20.0,Fe(acac)₃,0.08,30.0,10.0,1.5,Co-Precipitation,0.25M CTAB,19
Vitis vinifera (Grape seed),60.0,Fe2(SO4)3,0.02,70.0,6.0,0.75,Electrochemical,0.1 M glucose,20
Vaccinium myrtillus (Bilberry),25.0,Fe(NO3)3,0.11,30.0,5.0,0.75,Microwave-assisted,0.1 M citric acid,20
Tinospora cordifolia (Guduchi),27.0,FeCl₃·6H₂O,0.129,41.0,5.7,0.67,Photochemical,0.15 M riboflavin,21
Tribulus terrestris (Puncture Vine),52.0,FeCl₃ + Fe(salen) (2:1),0.135,62.0,9.8,1.25,Co-Precipitation,0.2M tannic acid,21
Azadirachta indica (Neem),40.0,Fe2(SO4)3,0.01,50.0,5.0,3.0,Stirring,0.1 M citric acid,22
Lavandula angustifolia (Lavender),15.0,Fe2O3,0.5,20.0,9.0,0.5,Stirring,0.1 M PVP,22
Linum usitatissimum (Flaxseed),25.0,FeCl₂,0.18,35.0,5.0,0.75,Microemulsion,0.05 M SDS,22
Tephrosia purpurea (Fish Poison),45.0,Fe(OOCH)₃,0.095,65.0,9.2,1.5,Co-Precipitation,0.25M histidine,22
Abrus precatorius (Rosary Pea),49.0,Fe(acac)₃ + Fe(urea)₆ (2:1),0.16,59.0,9.6,0.67,Co-Precipitation,0.3M gluconolactone,22
Houttuynia cordata (Fish mint),41.0,Fe(CO)₅,0.066,58.0,7.5,1.25,Laser ablation,0.3 M CTAB in EG,23
Mentha spicata (Mint),70.0,FeCl2,0.3,90.0,8.0,1.0,Solvothermal,0.1 M SDS,25
Salvia officinalis (Sage),50.0,FeSO4,0.03,60.0,7.0,2.0,Stirring,0.1 M EDTA,25
Prunus dulcis (Almond shell),60.0,Fe₂(SO₄)₃,0.02,70.0,8.0,3.0,Electrochemical,0.1 M H₂O₂,25
Aloe barbadensis (Aloe),30.0,FeCl₂·4H₂O,0.2,40.0,9.0,2.0,Co-Precipitation,1M NaOH + 0.1M citrate,25
Citrus limon (Lemon),28.0,FeSO₄/FeCl₃ (1:2),0.1,38.0,9.0,2.0,Co-Precipitation,0.3M phosphate buffer,25
Mentha spicata (Spearmint),22.0,FeCl₃·6H₂O,0.17,32.0,9.0,2.25,Co-Precipitation,0.3M TMAH,26
Nelumbo nucifera (Lotus leaf),45.0,Fe(acac)₃,0.042,65.0,7.2,3.0,Solvothermal,0.3 M oleylamine + 0.1 M TOPO,27
Butea monosperma (Flame of Forest),24.0,FeSO₄ + Fe(phen)₃ (1:1),0.065,34.0,10.6,1.5,Co-Precipitation,0.15M lignosulfonate,27
Ocimum sanctum (Tulsi),50.0,Fe(NO3)3,0.08,45.0,6.0,1.0,Stirring,0.05 M EDTA,28
Artemisia annua (Sweet wormwood),30.0,FeCl3,0.03,40.0,6.5,1.25,Microwave-assisted,0.2 M sodium citrate,28
Althaea officinalis (Marshmallow),30.0,FeCl₂,0.15,40.0,7.0,1.0,Microwave-assisted,0.3 M glucose,28
Plumeria rubra (Frangipani),19.0,FeSO₄ + FeCl₂ (1:2),0.18,29.0,8.4,2.0,Co-Precipitation,0.35M betaine,28
Eucalyptus globulus,35.0,FeSO4,0.025,40.0,9.0,0.5,Microwave-assisted,0.2 M CTAB,30
Taraxacum officinale (Dandelion),20.0,FeCl3,0.18,25.0,6.0,1.25,Hydrolysis,0.05 M acetic acid,30
Melissa officinalis (Lemon balm),30.0,Fe(NO₃)₃,0.16,40.0,5.5,1.0,Green synthesis,0.05 M gelatin,30
Centella asiatica (Gotu kola),26.0,Fe(NH₄)₂(SO₄)₂,0.123,38.0,6.3,1.0,Sonoelectrochemical,0.15 M EDTA-Na₂,30
Mentha piperita (Peppermint),25.0,FeCl₃,0.08,35.0,6.5,1.5,Hydrothermal,0.2 M ascorbic acid,32
Bryophyllum pinnatum (Air Plant),28.0,Fe(NO₃)₃ + FeC₂O₄ (3:1),0.12,42.0,8.8,2.75,Co-Precipitation,0.3M choline chloride,32
Jackfruit peel,30.0,FeCl2,0.1,20.0,6.0,1.5,Co-Precipitation,0.1 M PVP,32
Zingiber officinale (Ginger),55.0,FeSO4,0.1,35.0,6.0,1.5,Co-Precipitation,0.1 M ascorbic acid,33
Malus domestica (Apple peel),45.0,FeCl3,0.02,55.0,6.5,1.75,Microemulsion,0.05 M oleylamine,33
Ribes nigrum (Blackcurrant),25.0,FeCl₃,0.09,35.0,6.5,1.5,Hydrothermal,0.2 M sodium citrate,33
Moringa oleifera (Drumstick),45.0,FeCl₃·6H₂O,0.3,55.0,9.0,2.5,Co-Precipitation,0.6M urea,33
Camellia japonica (Japanese camellia),28.0,FeCl₃·6H₂O,0.075,42.0,6.8,1.75,Hydrothermal,0.25 M sodium alginate,34
Piper nigrum (Black Pepper),38.0,Fe(NO₃)₃·9H₂O,0.22,48.0,8.0,2.75,Co-Precipitation,0.35M oleylamine,34
Carica papaya (Papaya leaves),45.0,FeCl2,0.05,55.0,6.0,2.5,Hydrolysis,0.1 M acetic acid,35
Capsicum annuum (Bell pepper),40.0,FeCl₃,0.03,50.0,7.0,2.0,Stirring,0.1 M citric acid,35
saffron,50.0,FeCl2,1.0,50.0,4.0,0.5,Stirring,0.1 M PVP,35
Boerhavia diffusa (Punarnava),31.0,Fe(NH₄)(SO₄)₂,0.091,46.0,7.0,1.5,Electrospinning,0.4 M PAN/DMF,36
