plant extract,extract volume(mL),precursor,conc (M),precursor volume(mL),pH,time(hr),methods,additives,particle size(nm)
latex from stem of Calotropis procera,40,Fe2(SO4)3,0.003, 20,4,0.75,Stirring,60c sittirng,4
Catharanthus roseus (Madagascar periwinkle),24,Fe(CO)₅,0.033,36,8,0.25,CVD,0.1 M TMEDA,5
latex from stem of Calotropis procera,20,Fe2(SO4)3,0.003, 20,5,0.75,Stirring,60c sittirng,5
latex from stem of Calotropis procera,30,Fe2(SO4)3,0.003, 20,4,0.75,Stirring,60c sittirng,5
Cissus quadrangularis (Bone Setter),37,Fe(OOCH)₂,0.125,47,11.5,0.5,Co-Precipitation,0.15M phytic acid,6
Artemisia annua (Wormwood),27,FeCl₃/FeSO₄ (3:1),0.2,37,12,0.5,Co-Precipitation,1.5M NaOH + 0.2M dextran,7
Pinus sylvestris (Pine resin),22,Fe(CO)₅,0.088,33,4.5,0.33,Thermal decomposition,0.5 M oleic acid,8
Ocimum sanctum (Holy Basil),25,Fe(NO₃)₃·9H₂O,0.15,35,10,1,Co-Precipitation,0.3M TEA,8
Ficus religiosa (Peepal),42,FeCl₂·4H₂O,0.09,52,11,1,Co-Precipitation,0.45M NH₄OH + 0.05M PVP,8
Punica granatum (Pomegranate),15,Fe(NO₃)₃·9H₂O,0.18,25,11,0.75,Co-Precipitation,1M NH₄OH + 0.2M tartrate,10
Aegle marmelos (Bael Fruit),32,FeCl₃ + Fe(CO)₅ (4:1),0.14,48,11.2,0.33,Co-Precipitation,0.5M TMAH + 0.2M inulin,10
Woodfordia fruticosa (Fire Flame Bush),39,FeCl₃ + Fe(citrate) (4:1),0.115,49,11,0.42,Co-Precipitation,0.3M NH₄OH + 0.2M κ-carrageenan,11
Punica granatum (Pomegranate),20,FeCl3,0.01,15,5,3,Sonochemical,1 M NaBH4,12
Rosa damascena (Rose petals),10,FeCl3,0.09,15,8,0.5,Sonication,0.2 M ascorbic acid,12
Euphorbia hirta (Asthma weed),19,Fe(acac)₂,0.031,28,8.2,0.75,Microemulsion,0.1 M AOT + isooctane,12
Azadirachta indica (Neem),40,FeCl₃·6H₂O,0.1,50,11,1.5,Co-Precipitation,0.5M NH₄OH,12
Psidium guajava leaves ,50,FeCl3 and FeCl2,0.001,100,11,1,Stirring,1 M NaOH,12
Acalypha indica (Indian Nettle),26,FeCl₃ + Fe(tartrate) (5:1),0.11,36,10.8,1.75,Co-Precipitation,0.45M NH₄HCO₃,13
Daucus carota (Carrot peel),20,FeCl2,0.12,25,7.5,0.75,Sonochemical,0.05 M gelatin,14
Bacopa monnieri (Brahmi),23,Fe(CO)₅,0.057,35,8.5,0.42,Plasma-enhanced,0.3 M Ar/N₂ gas mixture,14
Citrus limon (Lemon peel),25,FeCl3,0.01,20,4,0.5,Stirring,0.2 M tartaric acid,15
Sambucus nigra (Elderberry),35,FeCl₃,0.14,45,7.5,0.5,Sonication,0.1 M PEG-4000,15
Andrographis paniculata (King of bitters),29,FeCl₃·6H₂O,0.142,44,5.5,0.5,Pulsed laser,0.2 M PVP in DMF,16
Camellia sinensis (Tea),35,FeSO₄·7H₂O,0.05,45,12,0.5,Co-Precipitation,0.4M NaOH + 0.05M PEG,16
Rosmarinus officinalis (Rosemary),32,FeCl₃·6H₂O,0.07,42,10,1.25,Co-Precipitation,0.4M glycine,16
 Moringa oleifera leaves,20,Fe3Cl4,0.6,80,3,,hydrothermal,,16
Dendrophthoe falcata (Mistletoe),38,FeCl₃ + Fe(acac)₃ (1:1),0.075,52,10.5,1.25,Co-Precipitation,0.4M NH₄F + 0.1M mannitol,17
Pergularia daemia (Treasure Flower),44,FeSO₄ + Fe(acetylacetonate) (1:1),0.15,54,10.2,1,Co-Precipitation,0.5M NH₄OH + 0.2M silk fibroin,17
Camellia sinensis (Green tea),15,FeCl2,0.2,25,8,1.5,Hydrothermal,1 M urea,18
Nerium oleander (Oleander),55,FeCl2,0.25,65,8.5,0.25,Electrochemical,0.1 M glucose,18
Petroselinum crispum (Parsley),15,Fe(NO₃)₃,0.12,25,6,0.5,Sonochemical,0.05 M EDTA,18
Cinnamomum verum (Cinnamon),48,FeSO₄·7H₂O,0.11,58,10,1.5,Co-Precipitation,0.5M NaOH + 0.15M starch,18
